engine,run_timestamp,strict_pct,formula_fraction,wall_clock_s
tetra,2026-04-26T20-09-48Z,54.5,0.91,1310.0
tetra,2026-04-26T20-09-56Z,42.5,1.0,1443.3
tetra,2026-04-26T20-10-04Z,51.5,0.99,1190.3
tetra,2026-04-26T23-35-22Z,52.1,0.99,1263.1
tetra,2026-04-26T23-35-30Z,50.3,1.0,2054.1
tetra,2026-04-27T01-57-58Z,45.5,0.99,1997.8
tetra,2026-04-27T01-58-06Z,73.1,1.0,2694.9
tetra,2026-04-27T01-58-14Z,25.7,0.97,2048.2
tetra,2026-04-27T01-58-22Z,36.5,1.0,2230.4
tetra,2026-04-27T01-58-30Z,68.9,1.0,2151.4
opus-4.7,2026-04-26T20-10-12Z,7.2,0.85,1229.5
opus-4.7,2026-04-26T20-10-20Z,28.1,1.0,1822.9
opus-4.7,2026-04-26T20-10-28Z,16.8,1.0,1603.2
opus-4.7,2026-04-26T23-35-55Z,53.9,1.0,1336.6
opus-4.7,2026-04-26T23-36-03Z,43.1,0.95,1462.4
opus-4.7,2026-04-27T01-58-38Z,26.3,1.0,2474.6
opus-4.7,2026-04-27T01-58-46Z,46.1,0.96,2394.1
opus-4.7,2026-04-27T01-58-54Z,56.9,0.99,1762.9
opus-4.7,2026-04-27T01-59-02Z,47.3,1.0,2032.4
opus-4.7,2026-04-27T01-59-10Z,40.1,0.89,2401.6
gpt-5.5,2026-04-26T21-07-01Z,7.8,1.0,1469.4
gpt-5.5,2026-04-26T23-34-50Z,18.6,1.0,831.7
gpt-5.5,2026-04-26T23-34-58Z,16.8,1.0,1057.7
gpt-5.5,2026-04-26T23-35-06Z,9.0,1.0,1240.7
gpt-5.5,2026-04-26T23-35-14Z,43.1,1.0,1017.1
gpt-5.5,2026-04-27T02-53-03Z,31.7,1.0,870.6
gpt-5.5,2026-04-27T02-53-11Z,47.3,1.0,924.2
gpt-5.5,2026-04-27T02-53-19Z,23.4,1.0,771.6
gpt-5.5,2026-04-27T02-53-27Z,59.3,1.0,1163.3
gpt-5.5,2026-04-27T02-53-35Z,12.0,1.0,1427.5
